id,status,pageTitle,heroTitle,heroBadge,heroTagline,vimeoID,vimeoHash,videoCount,format,audienceLabel,lms,launchDate,coversBullets,LESSONS →,L1_title,L1_desc,L2_title,L2_desc,L3_title,L3_desc,L4_title,L4_desc,L5_title,L5_desc,L6_title,L6_desc,L7_title,L7_desc,L8_title,L8_desc,L9_title,L9_desc,L10_title,L10_desc,L11_title,L11_desc,L12_title,L12_desc,L13_title,L13_desc,L14_title,L14_desc,L15_title,L15_desc,L16_title,L16_desc,L17_title,L17_desc
shp,live,Sexual Harassment Prevention — Blue Seat Studios,Sexual Harassment Prevention,★ Full Course,"Animated compliance training that sticks. Covers harassment, bystander intervention, and state-specific requirements for employees and managers.",1181577191,eb9cbcb589,16 Lessons & Quiz,Animated Course,Full Organization,SCORM Compatible,,"Real-world scenarios that show what harassment looks like | Clear, relatable examples of what to do (and what not to do) | Humor that lowers defensiveness and helps the message land | Builds confidence to speak up, set boundaries, and step in",──,Intro,"Your right to a respectful, harassment-free workplace. This video sets the foundation for what that means and why it matters.",Person to Person,Meet Stan and explore how person-to-person harassment shows up at work. Learn why intent doesn’t cancel out impact.,Quid Pro Quo,What is quid pro quo harassment? A memorable walkthrough of how power and pressure can cross the line.,Reporting,How reporting works and why it’s okay to speak up. Covers protections from retaliation and manager responsibilities.,Musical,"A light, memorable take on respect at work. Reinforces that no one should be made to feel lesser based on identity.",Hostile Work Environment Intro,What creates a hostile work environment? An introduction to the key concepts and definitions.,Scenario 1 - Setting Boundary,A workplace interaction where someone sets a clear boundary. Shows what respectful behavior looks like in response.,Scenario 2 - Power Dynamics,When a power imbalance changes the situation. Explores how pressure from a supervisor can make something inappropriate.,Scenario 3 - Explicit Content,A single serious incident can be enough. This scenario shows how severe behavior can create a hostile environment.,Scenario 4 - Vendor Comments,"Harassment doesn’t have to come from inside your organization. Looks at ongoing, low-level behavior from a vendor.",Scenario 5 - Awkward Compliment,Not every uncomfortable moment is harassment. Helps distinguish awkward from inappropriate.,Hostile Work Environment Recap,Revisits the "severe or pervasive" standard. Introduces both subjective and objective perspectives.,Bystander,"How to take action when something feels off. Introduces practical options: direct, distract, delay, and delegate.",California (optional),Covers California-specific laws under FEHA. Explains key protections and requirements.,Closing,Stan learned the key concepts of sexual harassment prevention. You’re ready to put them into practice.,,,,
ta,live,Threat Assessment — Blue Seat Studios,Threat Assessment,★ Full Course,"Give your organization the tools to recognize warning signs, support others, and report concerns early.",1181575256,867ea97e11,7-Video Series,Animated Course,Employees,SCORM Compatible,,Establishes a shared goal of having a safety culture | Gives clear guidance for emergencies| Memorable and Human| Builds trust in reporting and response,──,Introduction to Safety Culture,"What does a "safety culture" mean in real life? This video shows how small, everyday actions—like noticing, checking in, and speaking up—add up to a community where people look out for each other.",The Pathway to Violence,Concerning behavior rarely appears out of nowhere. This video introduces the idea of a pathway to violence and helps viewers understand what to notice—without expecting them to diagnose or predict outcomes.,How to Support Someone in Crisis,"When someone is struggling, you don’t need perfect words—you need a place to start. This video offers simple, grounded ways to notice, listen, and connect someone to support.",Listening(TM),A not-so-subtle ad for a skill we all think we have. This piece highlights common ways we miss the mark—and what real listening looks like.,When to Share a Concern,Not everything requires a report—but some things do. This video helps viewers recognize when it’s time to loop in support and why early sharing matters.,What Happens After You Report?,"You raised a concern, now what? This video demystifies the process, showing how teams assess situations, coordinate support, and focus on keeping people safe.",What to do When There’s an Immediate Threat,"In rare but urgent situations, clear action matters. This video walks through practical steps to protect yourself and others when something feels immediately unsafe.",,,,,,,,,,,,,,,,,,,,
ta-he,live,Threat Assessment — Higher Ed — Blue Seat Studios,Threat Assessment,★ Full Course,"Give your campus community the tools to recognize warning signs, support others, and report concerns early.",1181575256,867ea97e11,7-Video Series,Animated Course,Students · Faculty · Staff,SCORM Compatible,,Establishes a shared goal of having a safety culture | Gives clear guidance for emergencies| Memorable and Human| Builds trust in reporting and response,──,Introduction to Safety Culture,"What does a "safety culture" mean in real life? This video shows how small, everyday actions—like noticing, checking in, and speaking up—add up to a community where people look out for each other.",The Pathway to Violence,Concerning behavior rarely appears out of nowhere. This video introduces the idea of a pathway to violence and helps viewers understand what to notice—without expecting them to diagnose or predict outcomes.,How to Support Someone in Crisis,"When someone is struggling, you don’t need perfect words—you need a place to start. This video offers simple, grounded ways to notice, listen, and connect someone to support.",Listening(TM),A not-so-subtle ad for a skill we all think we have. This piece highlights common ways we miss the mark—and what real listening looks like.,When to Share a Concern,Not everything requires a report—but some things do. This video helps viewers recognize when it’s time to loop in support and why early sharing matters.,What Happens After You Report?,"You raised a concern, now what? This video demystifies the process, showing how teams assess situations, coordinate support, and focus on keeping people safe.",What to do When There’s an Immediate Threat,"In rare but urgent situations, clear action matters. This video walks through practical steps to protect yourself and others when something feels immediately unsafe.",,,,,,,,,,,,,,,,,,,,
ta-k12,live,Threat Assessment — K-12 — Blue Seat Studios,Threat Assessment,★ Full Course,"Give your school community the tools to recognize warning signs, support others, and report concerns early.",1181575256,867ea97e11,7-Video Series,Animated Course,Students · Staff · Administrators,SCORM Compatible,,Establishes a shared goal of having a safety culture | Gives clear guidance for emergencies| Memorable and Human| Builds trust in reporting and response,──,Introduction to Safety Culture,"What does a "safety culture" mean in real life? This video shows how small, everyday actions—like noticing, checking in, and speaking up—add up to a community where people look out for each other.",The Pathway to Violence,Concerning behavior rarely appears out of nowhere. This video introduces the idea of a pathway to violence and helps viewers understand what to notice—without expecting them to diagnose or predict outcomes.,How to Support Someone in Crisis,"When someone is struggling, you don’t need perfect words—you need a place to start. This video offers simple, grounded ways to notice, listen, and connect someone to support.",Listening(TM),A not-so-subtle ad for a skill we all think we have. This piece highlights common ways we miss the mark—and what real listening looks like.,When to Share a Concern,Not everything requires a report—but some things do. This video helps viewers recognize when it’s time to loop in support and why early sharing matters.,What Happens After You Report?,"You raised a concern, now what? This video demystifies the process, showing how teams assess situations, coordinate support, and focus on keeping people safe.",What to do When There’s an Immediate Threat,"In rare but urgent situations, clear action matters. This video walks through practical steps to protect yourself and others when something feels immediately unsafe.",,,,,,,,,,,,,,,,,,,,
al,coming-soon,Alcohol and Substance Awareness,Alcohol and Substance Awareness,,,1152648266,,,Animated Course,Students,SCORM Compatible,,,──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr,coming-soon,HR Fundamentals,HR Fundamentals,,,1152648266,,,Animated Course,Employees and Faculty,SCORM Compatible,,,──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh-k12,coming-soon,Mental Health Basics,Mental Health Basics,,,1152648266,,,Animated Course,Students and Faculty,SCORM Compatible,,,──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mh-he,coming-soon,Mental Health Support,Mental Health Support,,,1152648266,,,Animated Course,Students and Faculty,SCORM Compatible,,,──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co-k12,live,Consent (For Kids!),Consent (For Kids!),★ Full Course,,1152648266,,8,Animated Course,Students and Faculty,SCORM Compatible,,,──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shp-he,live,Sexual Harassment Prevention — Higher Ed — Blue Seat Studios,Sexual Harassment Prevention,★ Full Course,,1152648266,,,Animated Course,Students and Faculty,SCORM Compatible,,,──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
